Provision,Actor‑Holder,Action,Actor‑Affected (Target)
Nagoya Protocol Article 17(1)(a)(ii),Contracting Party,Require users to provide specified information at designated checkpoints,Users of genetic resources
Nagoya Protocol Article 17(1)(a)(iii),Contracting Party,"Provide collected information (including certificates) to authorities, providing Party, and Clearing-House",National authorities; Providing Party; Clearing-House
Nagoya Protocol Article 17(1)(a)(iv),Contracting Party,Ensure checkpoints function at all stages of resource utilization,Users and regulators
Nagoya Protocol Article 17(1)(b),Contracting Party,Encourage inclusion of information-sharing provisions in mutually agreed terms,All Parties
Nagoya Protocol Article 17(1)(c),Contracting Party,Encourage use of cost-effective communication tools,All Parties
Nagoya Protocol Article 17(2),Contracting Party (via competent authority),Issue permit as internationally recognized certificate of compliance,Potential resource users; Global stakeholders
Nagoya Protocol Article 17(3),Contracting Party,Recognize certificate as evidence of compliance,Global stakeholders
Nagoya Protocol Article 17(4),Contracting Party,Include minimum information in certificate,Global stakeholders
Nagoya Protocol Article 18(1),Contracting Party,Encourage dispute-resolution clauses in mutually agreed terms,Providers and users of genetic resources
Nagoya Protocol Article 18(1)(a),Contracting Party,Encourage inclusion of jurisdiction clause,Providers and users
Nagoya Protocol Article 18(1)(b),Contracting Party,Encourage inclusion of applicable law clause,Providers and users
Nagoya Protocol Article 18(1)(c),Contracting Party,Encourage inclusion of alternative dispute resolution mechanisms,Providers and users
Nagoya Protocol Article 18(2),Contracting Party,Ensure access to legal recourse in domestic legal systems,Potential resource users
Nagoya Protocol Article 18(3)(a),Contracting Party,Take effective measures on access to justice,Disputing Parties
Nagoya Protocol Article 18(3)(b),Contracting Party,Take measures for recognition and enforcement of foreign judgments and arbitral awards,Global stakeholders
Nagoya Protocol Article 18(4),COP,Review effectiveness of Article 18 provisions,All Parties
Nagoya Protocol Article 19(1),Contracting Party,Encourage development and use of model contractual clauses,Potential users and providers of genetic resources
Nagoya Protocol Article 19(2),COP,Take stock of use of model contractual clauses,All Parties
Nagoya Protocol Article 20(1),Contracting Party,"Encourage development and use of voluntary codes of conduct, guidelines, and best practices",All Parties (users and providers)
Nagoya Protocol Article 20(2),COP,Take stock and consider adoption of voluntary instruments,All Parties
Nagoya Protocol Article 21,Contracting Party,Take awareness-raising measures on genetic resources and traditional knowledge,"General Public, Stakeholders"
Nagoya Protocol Article 21(a),Contracting Party,Promote the Protocol and its objectives,General Public
Nagoya Protocol Article 21(b),Contracting Party,Organize meetings with communities and stakeholders,Indigenous/Local Communities
Nagoya Protocol Article 21(c),Contracting Party,Establish and maintain help desks,Indigenous/Local Communities
Nagoya Protocol Article 21(d),Contracting Party,Disseminate information through national clearing-house,Global Stakeholders
Nagoya Protocol Article 21(d),Contracting Party,Develop a national clearing-house,Global Stakeholders
Nagoya Protocol Article 21(e),Contracting Party,Promote voluntary codes in consultation with communities,Indigenous/Local Communities
Nagoya Protocol Article 21(f),Contracting Party,Promote exchanges of experience,Global Community
Nagoya Protocol Article 21(g),Contracting Party,Educate and train users and providers,Users and Providers
Nagoya Protocol Article 21(h),Contracting Party,Involve communities and stakeholders in implementation,"Indigenous/Local Communities, Stakeholders"
Nagoya Protocol Article 21(i),Contracting Party,Raise awareness of community protocols,Indigenous/Local Communities
Nagoya Protocol Article 22(1),Contracting Party,Cooperate in capacity-building and institutional development,"Developing States, Global Stakeholders"
Nagoya Protocol Article 22(2),Contracting Party,Take financial needs into account,Developing States
Nagoya Protocol Article 22(3),Developing States,Conduct self-assessments to identify capacity needs,"Indigenous/Local Communities, Women"
Nagoya Protocol Article 22(4),Contracting Party,Provide targeted capacity-building in key areas,"Developing States, Stakeholders"
Nagoya Protocol Article 22(5),Contracting Party,Implement broad measures for capacity-building,All Parties and relevant stakeholders
Nagoya Protocol Article 22(6),Contracting Party,Report capacity-building initiatives to the Clearing-House,Global Stakeholders
Nagoya Protocol Article 23 (Clause 1),Contracting Party,Collaborate in technical and scientific research,Global scientific community; potential MGR researchers
Nagoya Protocol Article 23 (Clause 2),Contracting Party,Promote and facilitate technology access and transfer,Developing States
Nagoya Protocol Article 23 (Clause 3),Contracting Party,Ensure collaboration occurs with providing Parties,Resource‑providing Parties; potential users of genetic resources
